Id	Code	Name	District	ExpenditurePerPupil	InstructionalExpendituresPercentage	CombinedWealthRatio	NeedsIndex	FreeLunchPercentage	ReducedLunchPercentage	LimitedEnglishProficientPercentage	EthnicDiversity	GraduatePercentage	DroppedOutPercentage
523	550301060004	WATKINS GLEN CENTRAL HIGH SCHOOL	WATKINS GLEN CENTRAL SCHOOL DISTRICT	20314	66.6113422	0.584	5	26	5	1	37.40944622	87.61904762	10.47619048
524	560501040004	SOUTH SENECA MIDDLE/HIGH SCHOOL	SOUTH SENECA CENTRAL SCHOOL DISTRICT	25603	61.0385605	0.57	4	39	15	0	37.51133162	85.48387097	9.677419355
525	560603040001	ROMULUS CENTRAL SCHOOL	ROMULUS CENTRAL SCHOOL DISTRICT	24785	70.3806366	0.789	4	30	10	0	36.40009157	92	4
526	560701060003	MYNDERSE ACADEMY	SENECA FALLS CENTRAL SCHOOL DISTRICT	18698	73.5886556	0.514	5	18	7	0	35.94811075	87.1559633	8.256880734
527	561006060001	WATERLOO HIGH SCHOOL	WATERLOO CENTRAL SCHOOL DISTRICT	19039	65.6283716	0.387	4	26	8	0	36.37260874	87.02290076	9.160305344
528	570101040002	ADDISON HIGH SCHOOL	ADDISON CENTRAL SCHOOL DISTRICT	24196	57.9336939	0.327	4	41	10	0	38.87244097	94.25287356	5.747126437
529	570201040002	AVOCA CENTRAL SCHOOL	AVOCA CENTRAL SCHOOL DISTRICT	23232	61.1390339	0.431	4	36	15	0	37.98289089	97.36842105	0
530	570302060003	HAVERLING SENIOR HIGH SCHOOL	BATH CENTRAL SCHOOL DISTRICT	19770	69.0601196	0.337	4	31	8	0	38.95510236	87.40740741	8.888888889
531	570401040001	BRADFORD CENTRAL SCHOOL	BRADFORD CENTRAL SCHOOL DISTRICT	24743	65.8829986	0.414	4	50	8	0	39.28570563	93.5483871	6.451612903
532	570603040002	CAMPBELL-SAVONA JUNIOR/SENIOR HIGH SCHOOL	CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT	21901	62.6585342	0.361	4	33	14	0	38.78874407	94.18604651	4.651162791
533	571000010017	CORNING-PAINTED POST EAST HIGH SCHOOL	CORNING CITY SCHOOL DISTRICT	17709	68.5002974	0.565	5	27	7	0	34.97237005	83.65384615	10.57692308
534	571000010018	CORNING-PAINTED POST WEST HIGH SCHOOL	CORNING CITY SCHOOL DISTRICT	17709	68.5002974	0.565	5	25	7	0	35.9536739	85.83333333	10.41666667
535	571000010019	CORNING PAINTED POST HIGH SCHOOL LEARNING CENTER	CORNING CITY SCHOOL DISTRICT	17709	68.5002974	0.565	5	33	12	0	37.91393763	48.38709677	38.70967742
536	571502060001	CANISTEO-GREENWOOD HIGH SCHOOL	CANISTEO-GREENWOOD CSD	20372	65.0890908	0.336	4	39	10	0	39.35818424	95	2.5
537	571800010006	HORNELL SENIOR HIGH SCHOOL	HORNELL CITY SCHOOL DISTRICT	17553	67.1213145	0.279	4	36	10	0	37.01216016	82.35294118	9.558823529
538	571800010008	HORNELL JUNIOR HIGH SCHOOL	HORNELL CITY SCHOOL DISTRICT	17553	67.1213145	0.279	4	44	11	0	35.9647976	0	71.42857143
539	571901040004	ARKPORT CENTRAL SCHOOL	ARKPORT CENTRAL SCHOOL DISTRICT	17785	72.4444623	0.361	5	16	6	0	39.44489828	100	0
540	572301040001	PRATTSBURGH CENTRAL SCHOOL	PRATTSBURGH CENTRAL SCHOOL DISTRICT	19702	67.5095622	0.428	4	42	10	0	37.98815605	96.77419355	3.225806452
