9868830,HX519406,11/24/2014 08:45:00 PM,061XX S WABASH AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0311,003,20,40,03,1177815,1864146,2014,12/01/2014 12:41:33 PM,41.782537159,-87.623620385,"(41.782537159; -87.623620385)"
9868823,HX519403,11/24/2014 08:38:00 PM,078XX S EXCHANGE AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,true,false,0421,004,7,43,04B,1196744,1853762,2014,12/01/2014 12:41:33 PM,41.753593095,-87.554567142,"(41.753593095; -87.554567142)"
9868887,HX519500,11/24/2014 08:30:00 PM,032XX N ASHLAND AVE,0810,THEFT,OVER $500,OTHER,false,false,1922,019,44,6,06,1165034,1921795,2014,12/01/2014 12:41:33 PM,41.941011134,-87.668843362,"(41.941011134; -87.668843362)"
9868833,HX519394,11/24/2014 08:30:00 PM,069XX S BENNETT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0332,003,5,43,14,1190041,1859075,2014,12/01/2014 12:41:33 PM,41.768336287,-87.578960042,"(41.768336287; -87.578960042)"
9868792,HX519393,11/24/2014 08:30:00 PM,046XX S ST LAWRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0221,002,3,38,08B,1181004,1874215,2014,12/01/2014 12:41:33 PM,41.810094557,-87.611618759,"(41.810094557; -87.611618759)"
9868760,HX519379,11/24/2014 08:25:00 PM,089XX S BLACKSTONE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0413,004,8,48,14,1187719,1845960,2014,12/01/2014 12:41:33 PM,41.73240305,-87.587887654,"(41.73240305; -87.587887654)"
9868715,HX519381,11/24/2014 08:20:00 PM,062XX S EVANS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0313,003,20,42,14,1182336,1863725,2014,12/01/2014 12:41:33 PM,41.781278303,-87.607058284,"(41.781278303; -87.607058284)"
9868749,HX519380,11/24/2014 08:15:00 PM,067XX S MAPLEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0832,008,15,66,08B,1160583,1859599,2014,12/01/2014 12:41:33 PM,41.770432477,-87.686923367,"(41.770432477; -87.686923367)"
9868758,HX519396,11/24/2014 08:07:00 PM,006XX N HAMLIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1122,011,27,23,14,1150902,1904031,2014,12/01/2014 12:41:33 PM,41.892553956,-87.72124995,"(41.892553956; -87.72124995)"
9868832,HX519412,11/24/2014 08:07:00 PM,078XX S ESSEX AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,0421,004,7,43,26,1194186,1853193,2014,12/01/2014 12:41:33 PM,41.75209487,-87.563959746,"(41.75209487; -87.563959746)"
9868744,HX519384,11/24/2014 08:05:00 PM,011XX N HAMLIN AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,1112,011,27,23,26,1150789,1907646,2014,12/01/2014 12:41:33 PM,41.902476092,-87.721570288,"(41.902476092; -87.721570288)"
9868875,HX519389,11/24/2014 08:05:00 PM,068XX S HALSTED ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,0723,007,6,68,15,1172115,1859246,2014,12/01/2014 12:41:33 PM,41.769218186,-87.644662023,"(41.769218186; -87.644662023)"
9869072,HX519595,11/24/2014 08:00:00 PM,030XX N NEVA AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,2511,025,36,18,06,1127972,1919381,2014,12/01/2014 12:41:33 PM,41.935094381,-87.805116867,"(41.935094381; -87.805116867)"
9868777,HX519415,11/24/2014 08:00:00 PM,015XX N HONORE ST,0810,THEFT,OVER $500,STREET,false,false,1424,014,1,24,06,1163490,1910051,2014,12/01/2014 12:41:33 PM,41.908817565,-87.674849591,"(41.908817565; -87.674849591)"
9868884,HX519487,11/24/2014 08:00:00 PM,001XX N LAMON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1532,015,28,25,06,1143742,1900212,2014,12/01/2014 12:41:33 PM,41.882211316,-87.747641741,"(41.882211316; -87.747641741)"
9868906,HX519490,11/24/2014 08:00:00 PM,050XX W LE MOYNE ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,2533,025,37,25,03,1142568,1909466,2014,12/01/2014 12:41:33 PM,41.907627281,-87.751722376,"(41.907627281; -87.751722376)"
9868969,HX519583,11/24/2014 08:00:00 PM,045XX W WEST END AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1113,011,28,26,06,1146075,1900549,2014,12/01/2014 12:41:33 PM,41.883092073,-87.739066297,"(41.883092073; -87.739066297)"
9869780,HX520045,11/24/2014 08:00:00 PM,012XX W MONROE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,012,27,28,06,1168336,1899746,2014,12/01/2014 12:41:33 PM,41.880436485,-87.657346012,"(41.880436485; -87.657346012)"
9869252,HX519662,11/24/2014 08:00:00 PM,071XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0731,007,6,69,08B,1176151,1857833,2014,12/01/2014 12:41:33 PM,41.765251123,-87.629910366,"(41.765251123; -87.629910366)"
9868852,HX519483,11/24/2014 08:00:00 PM,056XX W 64TH ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0812,008,13,64,06,1139968,1861604,2014,12/01/2014 12:41:33 PM,41.776334881,-87.76244218,"(41.776334881; -87.76244218)"
9869492,HX519717,11/24/2014 08:00:00 PM,012XX N WELLS ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,1821,018,43,8,05,1174437,1908817,2014,12/01/2014 12:41:33 PM,41.90519376,-87.634672727,"(41.90519376; -87.634672727)"
9869211,HX519744,11/24/2014 08:00:00 PM,064XX N LEHIGH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1621,016,41,12,14,1138481,1942148,2014,12/01/2014 12:41:33 PM,41.997384903,-87.765941187,"(41.997384903; -87.765941187)"
9870771,HX521031,11/24/2014 08:00:00 PM,028XX W BERTEAU AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,1724,017,33,16,26,1156500,1927732,2014,12/01/2014 12:41:33 PM,41.957479891,-87.700047819,"(41.957479891; -87.700047819)"
9868787,HX519390,11/24/2014 07:45:00 PM,005XX N LECLAIRE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1532,015,28,25,03,1142220,1903375,2014,12/01/2014 12:41:33 PM,41.890919341,-87.753152073,"(41.890919341; -87.753152073)"
9868878,HX519352,11/24/2014 07:44:00 PM,013XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,1433,014,1,24,06,1165434,1909298,2014,12/01/2014 12:41:33 PM,41.906710108,-87.66772974,"(41.906710108; -87.66772974)"
9868736,HX519368,11/24/2014 07:40:00 PM,070XX S PAXTON AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0331,003,5,43,08A,1192057,1858717,2014,12/01/2014 12:41:33 PM,41.767305149,-87.571582188,"(41.767305149; -87.571582188)"
9868819,HX519369,11/24/2014 07:40:00 PM,084XX S COMMERCIAL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,true,true,0424,004,10,46,04A,1197662,1849246,2014,12/01/2014 12:41:33 PM,41.741178009,-87.551353479,"(41.741178009; -87.551353479)"
